ID,city,consent,sex,age,education,employment,registered,received_assistance,satisfaction,dissatisfied_reason,quantity,quality
56,Inhambane,Yes,Male,70,No formal education,Retired,No,Yes,Very satisfied,,Yes,Great
57,Maputo,Yes,Male,54,No formal education,Retired,No,Yes,Somewhat satisfied,Limited variety,No,Ok
58,Matola,Yes,Female,78,Bachelor's,Student,No,Yes,Very satisfied,,Yes,Ok
59,Nampula,Yes,Male,66,Bachelor's,Unemployed,No,No,,,,
60,Inhambane,Yes,Female,61,High School,Employed,Yes,No,,,,
61,Inhambane,Yes,Female,37,Master's,Unemployed,No,Yes,Somewhat dissatisfied,Quality,No,Bad
62,Inhambane,Yes,Female,24,No formal education,Student,No,Yes,Very satisfied,,No,Great
63,Chimoio,Yes,Female,24,Master's,Student,0,No,,,,
64,Xai-Xai,Yes,Female,62,High School,Student,0,Yes,Somewhat dissatisfied,Limited variety,Yes,Great
65,Beira,Yes,Female,77,High School,Unemployed,0,Yes,Very dissatisfied,Wait too long,No,Great
66,Quelimane,Yes,Female,35,Bachelor's,Student,1,Yes,Very dissatisfied,Wait too long,Yes,Great
67,Nampula,Yes,Female,23,High School,Employed,No,Yes,Somewhat satisfied,Limited variety,No,Ok
68,Inhambane,Yes,Male,32,Master's,Student,No,Yes,Very satisfied,,No,Great
69,Maputo,No,Male,,,,,,,,,
70,Chimoio,Yes,Male,21,Master's,Unemployed,No,Yes,Very dissatisfied,Limited variety,Yes,Ok
71,Inhambane,Yes,Female,39,Bachelor's,Employed,1,No,,,,
72,Pemba,Yes,,15,Bachelor's,Student,No,Yes,Very satisfied,,No,Great
73,Tete,Yes,Male,30,Master's,Retired,No,Yes,Very dissatisfied,Quality,No,Bad
74,Quelimane,Yes,Male,22,High School,Employed,1,Yes,Somewhat dissatisfied,Limited variety,Yes,Ok
75,Beira,Yes,Male,80,Bachelor's,Employed,No,No,,,,
76,Quelimane,Yes,Male,30,PhD,Student,No,Yes,Somewhat dissatisfied,Limited variety,No,Ok
77,Beira,No,Male,,,,,,,,,
78,Beira,Yes,Female,31,Master's,Student,0,Yes,Somewhat dissatisfied,Quality,No,Bad
79,Inhambane,Yes,Male,60,High School,Employed,Yes,Yes,Very dissatisfied,Wait too long,Yes,Great
80,Quelimane,Yes,Male,58,PhD,Unemployed,Yes,Yes,Very satisfied,,Yes,Ok
81,Inhambane,Yes,Female,37,Bachelor's,Student,0,Yes,Somewhat dissatisfied,Quality,No,Bad
82,Nampula,Yes,Male,77,High School,Unemployed,Yes,Yes,Very satisfied,,No,Ok
83,Maputo,Yes,Female,22,Master's,Retired,0,No,,,,
84,Pemba,Yes,Female,64,No formal education,Employed,0,Yes,Somewhat satisfied,Limited variety,No,Great
85,Pemba,Yes,Female,29,PhD,Unemployed,Yes,Yes,Somewhat dissatisfied,Limited variety,Yes,Ok
86,Xai-Xai,Yes,Male,22,Master's,Student,No,No,,,,
87,Inhambane,Yes,Female,40,High School,Retired,No,Yes,Very satisfied,,Yes,Great
88,Pemba,Yes,Female,77,Bachelor's,Retired,No,Yes,,,,
89,Nampula,Yes,Male,76,No formal education,Retired,Yes,Yes,Very dissatisfied,Limited variety,No,Great
90,Matola,Yes,Female,71,PhD,Employed,1,Yes,Very dissatisfied,Quality,No,Bad
92,Chimoio,Yes,Female,78,Bachelor's,Employed,1,No,,,,
93,Xai-Xai,Yes,Female,50,No formal education,Retired,No,No,,,,
94,Maputo,Yes,Male,70,PhD,Employed,Yes,Yes,Very dissatisfied,Quality,Yes,Bad
95,Tete,Yes,Male,30,PhD,Employed,No,Yes,,,,
